v1,v2,encoding,v2_clean,v2_encoded
ham,Yes! How is a pretty lady like you single?,0,yes pretty lady like single,"[64, 503, 670, 6, 561]"
spam,You will recieve your tone within the next 24hrs. For Terms and conditions please see Channel U Teletext Pg 750,1,recieve tone 24hrs term condition channel teletext pg 750,"[3985, 83, 2570, 530, 1129, 2571, 3986, 1546, 417]"
ham,Jay says that you're a double-faggot,0,jay doublefaggot,"[524, 3987]"
spam,PRIVATE! Your 2003 Account Statement for 07815296484 shows 800 un-redeemed S.I.M. points. Call 08718738001 Identifier Code 41782 Expires 18/11/04 ,1,private 2003 account statement 07815296484 800 unredeeme sim point 08718738001 identifier code 41782 expire 181104,"[389, 575, 158, 407, 3988, 576, 1938, 664, 213, 2572, 671, 248, 3989, 408, 3990]"
ham,What Today-sunday..sunday is holiday..so no work..,0,todaysundaysunday holidayso work,"[1939, 1940, 30]"
ham,Gudnite....tc...practice going on,0,gudnitetcpractice,[2498]
ham,I'll be late...,0,ill late,"[9, 57]"
ham,"I've not called you in a while. This is hoping it was l8r malaria and that you know that we miss you guys. I miss Bani big, so pls give her my love especially. Have a great day.",0,ve hope l8r malaria miss guy miss bani big pls love especially great day,"[56, 36, 1134, 985, 34, 97, 34, 3991, 151, 47, 11, 762, 40, 8]"
ham,"Good afternoon, my love! How goes that day ? I hope maybe you got some leads on a job. I think of you, boytoy and send you a passionate kiss from across the sea",0,good afternoon love day hope maybe lead job think boytoy send passionate kiss sea,"[4, 262, 11, 8, 36, 243, 1135, 145, 14, 459, 5, 1547, 199, 504]"
ham,"Probably gonna be here for a while, see you later tonight &lt;)",0,probably later tonight lt,"[221, 28, 99, 1941]"
ham,Or maybe my fat fingers just press all these buttons and it doesn't know what to do.,0,maybe fat finger press button,"[243, 881, 882, 685, 3992]"
ham,Ummmmmaah Many many happy returns of d day my dear sweet heart.. HAPPY BIRTHDAY dear,0,ummmmmaah happy return day dear sweet heart happy birthday dear,"[1942, 49, 496, 8, 46, 202, 152, 49, 192, 46]"
ham,"I am in tirupur da, once you started from office call me.",0,tirupur da start office,"[1943, 32, 90, 305]"
spam,from www.Applausestore.com MonthlySubscription@50p/msg max6/month T&CsC web age16 2stop txt stop,1,wwwapplausestorecom monthlysubscription@50pmsg max6month tcsc web age16 2stop txt stop,"[3993, 3994, 3995, 3996, 3997, 2573, 1295, 3998, 16, 20]"
ham,"A famous quote : when you develop the ability to listen to 'anything' unconditionally without losing your temper or self confidence, it means you are ......... 'MARRIED'",0,famous quote develop ability listen unconditionally lose temper self confidence mean marry,"[3999, 696, 1944, 2574, 399, 4000, 166, 4001, 883, 1548, 101, 790]"
ham,But am going to college pa. What to do. are else ill come there it self. Pa.,0,college pa ill self pa,"[492, 227, 9, 883, 227]"
ham,4 oclock at mine. Just to bash out a flat plan.,0,oclock bash flat plan,"[4002, 4003, 1290, 107]"
ham,This girl does not stay in bed. This girl doesn't need recovery time. Id rather pass out while having fun then be cooped up in bed,0,girl stay bed girl need recovery time d pass fun coope bed,"[125, 196, 228, 125, 15, 2575, 10, 118, 452, 223, 4004, 228]"
ham,Then any special there?,0,special,[156]
ham,I know but you need to get hotel now. I just got my invitation but i had to apologise. Cali is to sweet for me to come to some english bloke's weddin,0,need hotel invitation apologise cali sweet english bloke weddin,"[15, 791, 4005, 1796, 2576, 202, 1296, 1549, 4006]"
ham,"Sorry that took so long, omw now",0,sorry long omw,"[21, 127, 986]"
ham,Wait  &lt;#&gt;  min..,0,wait min,"[43, 69]"
ham,Ok give me 5 minutes I think I see her. BTW you're my alibi. You were cutting my hair the whole time.,0,ok 5 minute think btw alibi cut hair time,"[3, 138, 123, 14, 1550, 4007, 453, 311, 10]"
ham,"Imagine you finally get to sink into that bath after I have put you through your paces, maybe even having you eat me for a while before I left ... But also imagine the feel of that cage on your cock surrounded by the bath water, reminding you always who owns you ... Enjoy, my cuck",0,imagine finally sink bath pace maybe eat left imagine feel cage cock surround bath water remind enjoy cuck,"[962, 491, 4008, 654, 4009, 243, 111, 1945, 962, 53, 4010, 1946, 4011, 654, 724, 792, 153, 4012]"
ham,"Hurry up, I've been weed-deficient for like three days",0,hurry ve weeddeficient like day,"[793, 56, 4013, 6, 8]"
ham,"Sure, if I get an acknowledgement from you that it's astoundingly tactless and generally faggy to demand a blood oath fo",0,sure acknowledgement astoundingly tactless generally faggy demand blood oath fo,"[85, 4014, 4015, 4016, 1947, 2577, 2578, 1948, 4017, 2579]"
ham,Ok. Every night take a warm bath drink a cup of milk and you'll see a work of magic. You still need to loose weight. Just so that you know,0,ok night warm bath drink cup milk ll work magic need loose weight,"[3, 37, 672, 654, 336, 822, 1949, 276, 30, 4018, 15, 1950, 987]"
ham,IÛ÷ll have a look at the frying pan in case itÛ÷s cheap or a book perhaps. No thatÛ÷s silly a frying pan isnÛ÷t likely to be a book,0,û÷ll look fry pan case itû÷ cheap book thatû÷ silly frying pan isnû÷ likely book,"[1551, 84, 1761, 2580, 495, 1951, 505, 181, 1952, 4019, 4020, 2580, 4021, 1953, 181]"
ham,O. Well uv causes mutations. Sunscreen is like essential thesedays,0,uv cause mutation sunscreen like essential theseday,"[4022, 357, 4023, 4024, 6, 1552, 4025]"
ham,Having lunch:)you are not in online?why?,0,lunchyou onlinewhy,"[4026, 4027]"
ham,I know that my friend already told that.,0,friend tell,"[52, 13]"
ham,Hi Princess! Thank you for the pics. You are very pretty. How are you?,0,hi princess thank pic pretty,"[29, 240, 54, 222, 503]"
ham,"Aiyo... U always c our ex one... I dunno abt mei, she haven reply... First time u reply so fast... Y so lucky not workin huh, got bao by ur sugardad ah...gee.. ",0,aiyo ex dunno abt mei haven reply time reply fast lucky workin huh bao sugardad ahgee,"[1136, 714, 246, 287, 1109, 4028, 19, 10, 19, 366, 430, 884, 382, 4029, 4030, 4031]"
ham,Hi msg me:)i'm in office..,0,hi msg meim office,"[29, 60, 4032, 305]"
ham,Thanx 4 e brownie it's v nice...,0,thanx brownie nice,"[245, 2581, 104]"
ham,Geeeee ... I love you so much I can barely stand it,0,geeeee love barely stand,"[2582, 11, 1137, 694]"
spam,GENT! We are trying to contact you. Last weekends draw shows that you won a å£1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm ,1,gent try contact weekend draw win å£1000 prize guarantee 09064012160 claim code k52 valid 12hrs 150ppm,"[2406, 41, 80, 171, 149, 22, 203, 58, 126, 2407, 38, 248, 1791, 321, 751, 209]"
ham,"Fuck babe ... I miss you already, you know ? Can't you let me send you some money towards your net ? I need you ... I want you ... I crave you ...",0,fuck babe miss let send money net need want crave,"[212, 68, 34, 65, 5, 105, 950, 15, 7, 596]"
ham,"Ill call u 2mrw at ninish, with my address that icky American freek wont stop callin me 2 bad Jen k eh?",0,ill 2mrw ninish address icky american freek stop callin bad jen eh,"[9, 1297, 4033, 358, 4034, 1954, 4035, 20, 1955, 173, 2583, 592]"
ham,Oooh bed ridden ey? What are YOU thinking of?,0,oooh bed ride ey think,"[2584, 228, 1061, 2585, 14]"
ham,"So anyways, you can just go to your gym or whatever, my love *smiles* I hope your ok and having a good day babe ... I miss you so much already",0,anyways gym love smile hope ok good day babe miss,"[1483, 625, 11, 86, 36, 3, 4, 8, 68, 34]"
ham,Love it! Daddy will make you scream with pleasure! I am going to slap your ass with my dick!,0,love daddy scream pleasure slap ass dick,"[11, 885, 572, 836, 1871, 571, 1956]"
ham,WOT U WANNA DO THEN MISSY?,0,wot wanna missy,"[316, 179, 4036]"
ham,Yar lor wait 4 my mum 2 finish sch then have lunch lor... I whole morning stay at home clean my room now my room quite clean... Hee...,0,yar lor wait mum finish sch lunch lor morning stay home clean room room clean hee,"[577, 18, 43, 400, 94, 349, 144, 18, 73, 196, 17, 673, 174, 174, 673, 546]"
ham,Do you know where my lab goggles went,0,lab goggle,"[1553, 4037]"
ham,Can you open the door?,0,open door,"[410, 674]"
ham,Waiting for your call.,0,wait,[43]
ham,Nope i waiting in sch 4 daddy... ,0,nope wait sch daddy,"[500, 43, 349, 885]"
spam,"You have won ?1,000 cash or a ?2,000 prize! To claim, call09050000327",1,win 1000 cash 2000 prize claim call09050000327,"[22, 1106, 78, 1298, 58, 38, 2586]"
ham,"I'm tired of arguing with you about this week after week. Do what you want and from now on, i'll do the same.",0,tired argue week week want ill,"[604, 1255, 27, 27, 7, 9]"
ham,ÌÏ wait 4 me in sch i finish ard 5..,0,ìï wait sch finish ard 5,"[117, 43, 349, 94, 353, 138]"
spam,"our mobile number has won å£5000, to claim calls us back or ring the claims hot line on 09050005321.",1,mobile number win å£5000 claim ring claim hot line 09050005321,"[23, 51, 22, 372, 38, 347, 38, 335, 142, 4038]"
ham,"Arngd marriage is while u r walkin unfortuntly a snake bites u. bt love marriage is dancing in frnt of d snake &amp; sayin Bite me, bite me.",0,arngd marriage walkin unfortuntly snake bite bt love marriage dance frnt snake amp sayin bite bite,"[4039, 1138, 4040, 4041, 1957, 1554, 328, 11, 1138, 1555, 4042, 1957, 70, 4043, 1554, 1554]"
ham,Huh so early.. Then Ì_ having dinner outside izzit?,0,huh early ì _ dinner outside izzit,"[382, 132, 33, 201, 501, 988]"
ham,Ok anyway no need to change with what you said,0,ok need change,"[3, 15, 218]"
spam,We tried to contact you re your reply to our offer of 750 mins 150 textand a new video phone call 08002988890 now or reply for free delivery tomorrow,1,try contact reply offer 750 min 150 textand new video phone 08002988890 reply free delivery tomorrow,"[41, 80, 19, 135, 417, 69, 616, 4044, 26, 234, 25, 4045, 19, 2, 342, 63]"
ham,my ex-wife was not able to have kids. Do you want kids one day?,0,exwife able kid want kid day,"[4046, 289, 532, 7, 532, 8]"
ham,So how's scotland. Hope you are not over showing your JJC tendencies. Take care. Live the dream,0,scotland hope jjc tendency care live dream,"[1759, 36, 4047, 4048, 82, 114, 279]"
ham,Tell them u have a headache and just want to use 1 hour of sick time.,0,tell headache want use 1 hour sick time,"[13, 1958, 7, 143, 67, 119, 748, 10]"
ham,"I dun thk i'll quit yet... Hmmm, can go jazz ? Yogasana oso can... We can go meet em after our lessons den... ",0,dun thk ill quit hmmm jazz yogasana oso meet em lesson den,"[109, 128, 9, 1299, 760, 1300, 1301, 331, 35, 728, 285, 238]"
ham,"\Pete can you please ring meive hardly gotany credit\""""",0,\pete ring meive hardly gotany credit\,"[775, 347, 4049, 2587, 4050, 272]"
ham,Ya srsly better than yi tho,0,ya srsly yi tho,"[108, 4051, 4052, 428]"
ham,"I'm in a meeting, call me later at",0,meeting later,"[405, 28]"
spam,"For ur chance to win a å£250 wkly shopping spree TXT: SHOP to 80878. T's&C's www.txt-2-shop.com custcare 08715705022, 1x150p/wk",1,chance win å£250 wkly shopping spree txt shop 80878 tsc wwwtxt2shopcom custcare 08715705022 1x150pwk,"[163, 22, 468, 510, 578, 989, 16, 185, 1959, 506, 2588, 990, 1556, 1302]"
spam,You have been specially selected to receive a 2000 pound award! Call 08712402050 BEFORE the lines close. Cost 10ppm. 16+. T&Cs apply. AG Promo,1,specially select receive 2000 pound award 08712402050 line close cost 10ppm 16 + tcs apply ag promo,"[753, 241, 139, 1298, 261, 91, 2589, 142, 286, 170, 2590, 116, 259, 214, 2591, 2592]"
spam,PRIVATE! Your 2003 Account Statement for 07753741225 shows 800 un-redeemed S. I. M. points. Call 08715203677 Identifier Code: 42478 Expires 24/10/04,1,private 2003 account statement 07753741225 800 unredeemed point 08715203677 identifier code 42478 expire 241004,"[389, 575, 158, 407, 4053, 576, 551, 213, 4054, 671, 248, 4055, 408, 4056]"
ham,You still at grand prix?,0,grand prix,"[1557, 4057]"
ham,"I met you as a stranger and choose you as my friend. As long as the world stands, our friendship never ends. Lets be Friends forever!!! Gud nitz...",0,meet strange choose friend long world stand friendship end let friend forever gud nitz,"[35, 1513, 363, 52, 127, 187, 694, 348, 92, 65, 52, 750, 115, 4058]"
ham,I am great! How are you?,0,great,[40]
ham,Gud mrng dear have a nice day,0,gud mrng dear nice day,"[115, 517, 46, 104, 8]"
spam,You have an important customer service announcement. Call FREEPHONE 0800 542 0825 now!,1,important customer service announcement freephone 0800 542 0825,"[291, 100, 75, 1139, 849, 547, 1558, 2593]"
ham,Will do. Was exhausted on train this morning. Too much wine and pie. You sleep well too,0,exhaust train morning wine pie sleep,"[1303, 533, 73, 606, 1559, 71]"
ham,I'm going out to buy mum's present ar.,0,buy mum present ar,"[74, 400, 886, 991]"
ham,Mind blastin.. No more Tsunamis will occur from now on.. Rajnikant stopped swimming in Indian Ocean..:-D,0,mind blastin tsunamis occur rajnikant stop swim indian oceand,"[169, 4059, 2594, 2595, 4060, 20, 2596, 1304, 4061]"
ham,If u sending her home first it's ok lor. I'm not ready yet.,0,send home ok lor ready,"[5, 17, 3, 18, 165]"
ham,Speaking of does he have any cash yet?,0,speak cash,"[146, 78]"
ham,Be happy there. I will come after noon,0,happy noon,"[49, 794]"
ham,Meet after lunch la...,0,meet lunch la,"[35, 144, 922]"
ham,TaKe CaRE n gET WeLL sOOn,0,care soon,"[82, 96]"
spam,XCLUSIVE@CLUBSAISAI 2MOROW 28/5 SOIREE SPECIALE ZOUK WITH NICHOLS FROM PARIS.FREE ROSES 2 ALL LADIES !!! info: 07946746291/07880867867 ,1,xclusive@clubsaisai 2morow 285 soiree speciale zouk nichols parisfree rose lady info 0794674629107880867867,"[4062, 4063, 1960, 4064, 2597, 4065, 4066, 1961, 4067, 4068, 670, 540, 4069]"
ham,what I meant to say is cant wait to see u again getting bored of this bridgwater banter,0,mean wait bore bridgwater banter,"[101, 43, 979, 4070, 4071]"
ham,Neva mind it's ok..,0,neva mind ok,"[422, 169, 3]"
ham,"It's fine, imma get a drink or somethin. Want me to come find you?",0,fine imma drink somethin want find,"[141, 992, 336, 1305, 7, 61]"
spam,22 days to kick off! For Euro2004 U will be kept up to date with the latest news and results daily. To be removed send GET TXT STOP to 83222,1,22 day kick euro2004 date late news result daily remove send txt stop 83222,"[2598, 8, 707, 1306, 183, 57, 427, 785, 1140, 623, 5, 16, 20, 1962]"
ham,Its a valentine game. . . Send dis msg to all ur friends. .. If 5 answers r d same then someone really loves u. Ques- which colour suits me the best?rply me,0,valentine game send dis msg friend 5 answer love que colour suit bestrply,"[436, 236, 5, 250, 60, 52, 138, 232, 11, 1963, 309, 2599, 4072]"
ham,I have many dependents,0,dependent,[4073]
ham,THANX4 TODAY CER IT WAS NICE 2 CATCH UP BUT WE AVE 2 FIND MORE TIME MORE OFTEN OH WELL TAKE CARE C U SOON.C,0,thanx4 today cer nice catch ave find time oh care soonc,"[4074, 24, 4075, 104, 448, 838, 61, 10, 42, 82, 4076]"
ham,I called and said all to him:)then he have to choose this future.,0,himthen choose future,"[4077, 363, 887]"
ham,"\Happy valentines day\"" I know its early but i have hundreds of handsomes and beauties to wish. So i thought to finish off aunties and uncles 1st...""",0,\happy valentine day\ early handsome beauty wish think finish auntie uncle 1st,"[49, 436, 8, 132, 2434, 1964, 87, 14, 94, 2600, 456, 182]"
ham,He like not v shock leh. Cos telling shuhui is like telling leona also. Like dat almost all know liao. He got ask me abt ur reaction lor.,0,like shock leh cos tell shuhui like tell leona like dat liao ask abt reaction lor,"[6, 4078, 257, 76, 13, 993, 6, 13, 1965, 6, 176, 206, 31, 287, 2601, 18]"
ham,For my family happiness..,0,family happiness,"[367, 579]"
ham,I come n pick Ì_ up... Come out immediately aft ur lesson...,0,pick ì _ immediately aft lesson,"[62, 33, 713, 387, 285]"
ham,Let there be snow. Let there be snow. This kind of weather brings ppl together so friendships can grow.,0,let snow let snow kind weather bring ppl friendship grow,"[65, 534, 65, 534, 470, 994, 160, 1509, 348, 1560]"
ham,Dear we got  &lt;#&gt;  dollars hi hi,0,dear dollar hi hi,"[46, 974, 29, 29]"
ham,Good words.... But words may leave u in dismay many times.,0,good word word leave dismay time,"[4, 106, 106, 45, 4079, 10]"
ham,MAKE SURE ALEX KNOWS HIS BIRTHDAY IS OVER IN FIFTEEN MINUTES AS FAR AS YOU'RE CONCERNED,0,sure alex birthday minute far concerned,"[85, 995, 192, 123, 464, 4080]"
ham,"sorry, no, have got few things to do. may be in pub later.",0,sorry thing pub later,"[21, 39, 423, 28]"
ham,"Nah it's straight, if you can just bring bud or drinks or something that's actually a little more useful than straight cash",0,nah straight bring bud drink actually little useful straight cash,"[683, 1082, 160, 1561, 336, 237, 252, 2602, 1082, 78]"
ham,"Haha good to hear, I'm officially paid and on the market for an 8th",0,haha good hear officially pay market 8th,"[131, 4, 157, 2603, 133, 1966, 1126]"
ham,How many licks does it take to get to the center of a tootsie pop?,0,lick center tootsie pop,"[1277, 1537, 4081, 996]"
ham,Yup i thk they r e teacher said that will make my face look longer. Darren ask me not 2 cut too short.,0,yup thk teacher face look long darren ask cut short,"[155, 128, 1823, 258, 84, 127, 626, 31, 453, 545]"
spam,New TEXTBUDDY Chat 2 horny guys in ur area 4 just 25p Free 2 receive Search postcode or at gaytextbuddy.com. TXT ONE name to 89693,1,new textbuddy chat horny guy area 25p free receive search postcode gaytextbuddycom txt 89693,"[26, 2604, 102, 862, 97, 580, 888, 2, 139, 339, 1967, 2605, 16, 2606]"
spam,Todays Vodafone numbers ending with 4882 are selected to a receive a å£350 award. If your number matches call 09064019014 to receive your å£350 award.,1,todays vodafone number end 4882 select receive å£350 award number match 09064019014 receive å£350 award,"[374, 1141, 51, 92, 2607, 241, 139, 581, 91, 51, 375, 2608, 139, 581, 91]"
ham,Please dont say like that. Hi hi hi,0,like hi hi hi,"[6, 29, 29, 29]"
ham,Thank u!,0,thank,[54]
ham,Oh that was a forwarded message. I thought you send that to me,0,oh forward message think send,"[42, 620, 50, 14, 5]"
ham,Got it. Seventeen pounds for seven hundred ml ÛÒ hope ok.,0,seventeen pound seven ml ûò hope ok,"[4082, 261, 1968, 4083, 795, 36, 3]"
spam,"Dear Voucher Holder, 2 claim this weeks offer, at your PC go to http://www.e-tlp.co.uk/expressoffer Ts&Cs apply.2 stop texts txt STOP to 80062.",1,dear voucher holder claim week offer pc httpwwwetlpcoukexpressoffer tsc apply2 stop text txt stop 80062,"[46, 186, 1142, 38, 27, 135, 889, 2609, 506, 4084, 20, 12, 16, 20, 1307]"
ham,Me n him so funny...,0,funny,[997]
ham,"Sweetheart, hope you are not having that kind of day! Have one with loads of reasons to smile. Biola",0,sweetheart hope kind day load reason smile biola,"[2610, 36, 470, 8, 601, 421, 86, 4085]"
ham,When Ì_ login dat time... Dad fetching Ì_ home now?,0,ì _ login dat time dad fetch ì _ home,"[33, 998, 176, 10, 254, 999, 33, 17]"
ham,"What will we do in the shower, baby?",0,shower baby,"[548, 235]"
ham,I had askd u a question some hours before. Its answer,0,askd question hour answer,"[602, 210, 119, 232]"
ham,"Well imma definitely need to restock before thanksgiving, I'll let you know when I'm out",0,imma definitely need restock thanksgive ill let,"[992, 1094, 15, 2611, 4086, 9, 65]"
ham," said kiss, kiss, i can't do the sound effects! He is a gorgeous man isn't he! Kind of person who needs a smile to brighten his day! ",0,kiss kiss sound effect gorgeous man kind person need smile brighten day,"[199, 199, 266, 1562, 1526, 112, 470, 137, 15, 86, 4087, 8]"
ham,Probably gonna swing by in a wee bit,0,probably swing wee bit,"[221, 663, 2612, 148]"
ham,Ya very nice. . .be ready on thursday,0,ya nice ready thursday,"[108, 104, 165, 1308]"
ham,Allo! We have braved the buses and taken on the trains and triumphed. I mean weÛ÷re in bÛ÷ham. Have a jolly good rest of week,0,allo brave bus train triumph mean weû÷re û÷ham jolly good rest week,"[4088, 4089, 242, 533, 4090, 101, 1969, 4091, 2613, 4, 771, 27]"
ham,"Watching cartoon, listening music &amp; at eve had to go temple &amp; church.. What about u?",0,watch cartoon listen music amp eve temple amp church,"[88, 1309, 399, 333, 70, 396, 1563, 70, 1564]"
ham,Do you mind if I ask what happened? You dont have to say if it is uncomfortable.,0,mind ask happen uncomfortable,"[169, 31, 129, 4092]"
spam,PRIVATE! Your 2003 Account Statement for shows 800 un-redeemed S. I. M. points. Call 08715203694 Identifier Code: 40533 Expires 31/10/04,1,private 2003 account statement 800 unredeemed point 08715203694 identifier code 40533 expire 311004,"[389, 575, 158, 407, 576, 551, 213, 4093, 671, 248, 2614, 408, 2615]"
ham,No prob. I will send to your email.,0,prob send email,"[432, 5, 385]"
spam,"You have won ?1,000 cash or a ?2,000 prize! To claim, call09050000327. T&C: RSTM, SW7 3SS. 150ppm",1,win 1000 cash 2000 prize claim call09050000327 tc rstm sw7 3ss 150ppm,"[22, 1106, 78, 1298, 58, 38, 2586, 322, 2616, 2617, 2618, 209]"
ham,Thats cool! Sometimes slow and gentle. Sonetimes rough and hard :),0,cool slow gentle sonetime rough hard,"[164, 568, 1310, 4094, 4095, 411]"
ham,I'm gonna say no. Sorry. I would but as normal am starting to panic about time. Sorry again! Are you seeing on Tuesday?,0,sorry normal start panic time sorry tuesday,"[21, 712, 90, 2619, 10, 21, 890]"
ham,"Wait, do you know if wesleys in town? I bet she does hella drugs!",0,wait wesley town bet hella drug,"[43, 2620, 282, 1565, 1566, 507]"
ham,Fine i miss you very much.,0,fine miss,"[141, 34]"
ham,Did u got that persons story,0,person story,"[137, 361]"
ham,Tell them the drug dealer's getting impatient,0,tell drug dealer impatient,"[13, 507, 2621, 2622]"
ham,"Sun cant come to earth but send luv as rays. cloud cant come to river but send luv as rain. I cant come to meet U, but can send my care as msg to U. Gud evng",0,sun earth send luv ray cloud river send luv rain meet send care msg gud evng,"[472, 1311, 5, 211, 1259, 4096, 2623, 5, 211, 483, 35, 5, 82, 60, 115, 1143]"
ham,You will be in the place of that man,0,place man,"[95, 112]"
ham,"It doesnt make sense to take it there unless its free. If you need to know more, wikipedia.com",0,sense free need wikipediacom,"[959, 2, 15, 4097]"
spam,88800 and 89034 are premium phone services call 08718711108,1,88800 89034 premium phone service 08718711108,"[4098, 4099, 2624, 25, 75, 4100]"
ham,"Under the sea, there lays a rock. In the rock, there is an envelope. In the envelope, there is a paper. On the paper, there are 3 words... '",0,sea lay rock rock envelope envelope paper paper 3 word,"[504, 846, 570, 570, 1144, 1144, 582, 582, 77, 106]"
ham,Then mum's repent how?,0,mum repent,"[400, 4101]"
ham,Sorry me going home first... Daddy come fetch Ì_ later...,0,sorry home daddy fetch ì _ later,"[21, 17, 885, 999, 33, 28]"
ham,Leave it de:-). Start Prepare for next:-)..,0,leave de start prepare,"[45, 306, 90, 1312]"
ham,Yes baby! We can study all the positions of the kama sutra ;),0,yes baby study position kama sutra,"[64, 235, 390, 1912, 4102, 4103]"
ham,En chikku nange bakra msg kalstiya..then had tea/coffee?,0,en chikku nange bakra msg kalstiyathen teacoffee,"[2625, 619, 4104, 4105, 60, 4106, 4107]"
ham,Carlos'll be here in a minute if you still need to buy,0,carlosll minute need buy,"[4108, 123, 15, 74]"
ham,This pay is  &lt;DECIMAL&gt;  lakhs:),0,pay ltdecimalgt lakh,"[133, 330, 4109]"
ham,Have a good evening! Ttyl,0,good evening ttyl,"[4, 256, 1122]"
ham,Did u receive my msg?,0,receive msg,"[139, 60]"
ham,Ho ho - big belly laugh! See ya tomo,0,ho ho big belly laugh ya tomo,"[796, 796, 151, 1313, 473, 108, 429]"
spam,SMS. ac sun0819 posts HELLO:\You seem cool,1,sm ac sun0819 post hello\you cool,"[190, 1453, 4110, 280, 120, 1970, 164]"
spam,Get ur 1st RINGTONE FREE NOW! Reply to this msg with TONE. Gr8 TOP 20 tones to your phone every week just å£1.50 per wk 2 opt out send STOP 08452810071 16,1,1st ringtone free reply msg tone gr8 20 tone phone week å£150 wk opt send stop 08452810071 16,"[182, 226, 2, 19, 60, 83, 391, 1000, 83, 25, 27, 271, 296, 535, 5, 20, 4111, 116]"
ham,"Ditto. And you won't have to worry about me saying ANYTHING to you anymore. Like i said last night, you do whatever you want and i'll do the same. Peace.",0,ditto worry anymore like night want ill peace,"[4112, 230, 823, 6, 37, 7, 9, 1971]"
ham,"I've got  &lt;#&gt; , any way I could pick up?",0,ve got way pick,"[56, 1314, 55, 62]"
ham,"I dont knw pa, i just drink milk..",0,knw pa drink milk,"[438, 227, 336, 1949]"
ham,Maybe?! Say hi to  and find out if  got his card. Great escape or wetherspoons? ,0,maybe hi find card great escape wetherspoon,"[243, 29, 61, 419, 40, 1481, 4113]"
ham,"Piggy, r u awake? I bet u're still sleeping. I'm going 4 lunch now...",0,piggy awake bet ure sleep lunch,"[4114, 1001, 1565, 719, 71, 144]"
ham,Cause I'm not freaky lol,0,cause freaky lol,"[357, 4115, 81]"
ham,Missed your call cause I was yelling at scrappy. Miss u. Can't wait for u to come home. I'm so lonely today.,0,miss cause yell scrappy miss wait home lonely today,"[34, 357, 2626, 4116, 34, 43, 17, 1567, 24]"
ham,What is this 'hex' place you talk of? Explain!,0,hex place talk explain,"[2627, 95, 98, 1568]"
ham,ÌÏ log off 4 wat. It's sdryb8i,0,ìï log wat sdryb8i,"[117, 458, 48, 4117]"
ham,Is xy going 4 e lunch?,0,xy lunch,"[797, 144]"
spam,Hi I'm sue. I am 20 years old and work as a lapdancer. I love sex. Text me live - I'm i my bedroom now. text SUE to 89555. By TextOperator G2 1DA 150ppmsg 18+,1,hi sue 20 year old work lapdancer love sex text live bedroom text sue 89555 textoperator g2 1da 150ppmsg 18 +,"[29, 2628, 1000, 79, 373, 30, 4118, 11, 583, 12, 114, 1002, 12, 2628, 1972, 1973, 4119, 4120, 4121, 130]"
ham,I wanted to ask Ì_ to wait 4 me to finish lect. Cos my lect finishes in an hour anyway.,0,want ask ì _ wait finish lect cos lect finish hour,"[7, 31, 33, 43, 94, 758, 76, 758, 94, 119]"
ham,Have you finished work yet? :),0,finish work,"[94, 30]"
ham,"Every King Was Once A Crying Baby And Every Great Building Was Once A Map.. Not Imprtant Where U r TODAY, BUT Where U Wil Reach TOMORW. Gud ni8",0,king cry baby great building map imprtant today wil reach tomorw gud ni8,"[1003, 926, 235, 40, 1974, 1569, 4122, 24, 415, 124, 4123, 115, 605]"
ham,"Dear,Me at cherthala.in case u r coming cochin pls call bfore u start.i shall also reach accordingly.or tell me which day u r coming.tmorow i am engaged ans its holiday.",0,dearme cherthalain case cochin pls bfore starti shall reach accordinglyor tell day comingtmorow engage holiday,"[4124, 4125, 495, 2629, 47, 4126, 4127, 220, 124, 4128, 13, 8, 4129, 4130, 150]"
ham,Thanks love. But am i doing torch or bold.,0,thank love torch bold,"[54, 11, 1004, 1005]"
spam,<Forwarded from 448712404000>Please CALL 08712404000 immediately as there is an urgent message waiting for you.,1,< forward 448712404000 > 08712404000 immediately urgent message wait,"[620, 4131, 4132, 713, 93, 50, 43]"
ham,Was the farm open?,0,farm open,"[2630, 410]"
ham,"Sorry to trouble u again. Can buy 4d for my dad again? 1405, 1680, 1843. All 2 big 1 small, sat n sun. Thanx.",0,sorry trouble buy 4d dad 1405 1680 1843 big 1 small sit sun thanx,"[21, 837, 74, 2631, 254, 4133, 4134, 4135, 151, 67, 615, 162, 472, 245]"
ham,"My sister in law, hope you are having a great month. Just saying hey. Abiola",0,sister law hope great month hey abiola,"[420, 1315, 36, 40, 154, 44, 647]"
ham,Will purchase d stuff today and mail to you. Do you have a po box number?,0,purchase stuff today mail po box number,"[1316, 140, 24, 277, 233, 208, 51]"
ham,Ah poop. Looks like ill prob have to send in my laptop to get fixed cuz it has a gpu problem,0,ah poop look like ill prob send laptop fix cuz gpu problem,"[251, 2632, 84, 6, 9, 432, 5, 612, 520, 938, 2633, 167]"
ham,Good. Good job. I like entrepreneurs,0,good good job like entrepreneur,"[4, 4, 145, 6, 4136]"
ham,"Aight, you close by or still down around alex's place?",0,aight close alexs place,"[219, 286, 4137, 95]"
ham,meet you in corporation st outside gap Û_ you can see how my mind is working!,0,meet corporation st outside gap û _ mind work,"[35, 4138, 618, 501, 729, 508, 169, 30]"
